Sport,Venue,Zone,Session Code,,Date,Games Day,Session Type,Session Description,Start Time,End Time
3x3 Basketball,Valley Complex 3,Valley,BK301,,"Sunday, July 16",2,Preliminary,Men's Pool Round (2 Games) Women's Pool Round (2 Games),14:00,16:00
3x3 Basketball,Valley Complex 3,Valley,BK302,,"Sunday, July 16",2,Preliminary,"Men's Pool Round (2 Games)
Women's Pool Round (2 Games)",17:30,19:30
3x3 Basketball,Valley Complex 3,Valley,BK303,,"Sunday, July 16",2,Preliminary,Men's Pool Round (2 Games) Women's Pool Round (2 Games),21:00,23:00
3x3 Basketball,Valley Complex 3,Valley,BK304,,"Monday, July 17",3,Preliminary,"Men's Pool Round (2 Games)
Women's Pool Round (2 Games)",14:00,16:00
3x3 Basketball,Valley Complex 3,Valley,BK305,,"Monday, July 17",3,Preliminary,Men's Pool Round (2 Games) Women's Pool Round (2 Games),17:30,19:30
3x3 Basketball,Valley Complex 3,Valley,BK306,,"Monday, July 17",3,Preliminary,"Men's Pool Round (2 Games)
Women's Pool Round (2 Games)",21:00,23:00
3x3 Basketball,Valley Complex 3,Valley,BK307,,"Tuesday, July 18",4,Preliminary,Men's Pool Round (2 Games) Women's Pool Round (2 Games),14:00,16:00
3x3 Basketball,Valley Complex 3,Valley,BK308,,"Tuesday, July 18",4,Preliminary,"Men's Pool Round (2 Games)
Women's Pool Round (2 Games)",17:30,19:30
3x3 Basketball,Valley Complex 3,Valley,BK309,,"Tuesday, July 18",4,Preliminary,Men's Pool Round (2 Games) Women's Pool Round (2 Games),21:00,23:00
3x3 Basketball,Valley Complex 3,Valley,BK310,,"Wednesday, July 19",5,Preliminary,Men's Pool Round (2 Games) Women's Pool Round (2 Games),14:00,16:00
3x3 Basketball,Valley Complex 3,Valley,BK311,,"Wednesday, July 19",5,Preliminary,"Men's Pool Round (2 Games)
Women's Pool Round (2 Games)",17:30,19:30
3x3 Basketball,Valley Complex 3,Valley,BK312,,"Wednesday, July 19",5,Preliminary,Men's Pool Round (2 Games) Women's Pool Round (2 Games),21:00,23:00
3x3 Basketball,Valley Complex 3,Valley,BK313,,"Thursday, July 20",6,Preliminary,"Men's Pool Round (2 Games)
Women's Pool Round (2 Games)",14:00,16:00
3x3 Basketball,Valley Complex 3,Valley,BK314,,"Thursday, July 20",6,Preliminary,Men's Pool Round (2 Games) Women's Pool Round (2 Games),17:30,19:30
3x3 Basketball,Valley Complex 3,Valley,BK315,,"Thursday, July 20",6,Preliminary,"Men's Pool Round (2 Games)
Women's Pool Round (2 Games)",21:00,23:00
3x3 Basketball,Valley Complex 3,Valley,BK316,,"Friday, July 21",7,Preliminary,Men's Play-In (2 Games) Women's Play-In (2 Games),14:00,16:00
3x3 Basketball,Valley Complex 3,Valley,BK317,,"Friday, July 21",7,Quarterfinal,"Men's Quarterfinal (2 Games)
Women's Quarterfinal (2 Games)",17:30,19:30
